key,unique_orientations
16-4647,8
16-3625,8
16-18968,8
16-8548,8
16-4065,8
16-0254,8
16-3110,8
16-9363,8
16-6649,8
16-9093,8
16-6666,8
16-9624,8
16-0129,8
16-8896,8
16-6098,8
16-8961,8
16-5965,8
16-9739,8
16-9415,8
16-3219,8
16-6555,8
16-6979,4
16-6567,8
16-3809,8
16-0751,8
16-0735,4
16-0197,8
16-2434,8
16-6886,8
16-4938,8
16-2466,8
16-5201,4
16-12406,8
16-6144,8
16-5016,8
16-7142,8
16-0541,8
16-4968,8
16-7371,8
16-8021,8
16-4114,8
16-19278,8
16-6657,8
16-2785,8
16-0386,8
16-7561,8
16-19693,8
16-8957,8
16-0476,8
16-0088,4
16-2229,8
16-1471,8
16-3890,8
16-7777,8
16-6954,8
16-9173,8
16-6133,8
16-6899,8
16-7778,8
16-7025,8
16-7370,8
16-6721,8
16-3267,8
16-3637,8
16-6531,8
16-2536,8
16-0429,8
16-0086,8
16-2935,8
16-4741,8
16-5163,8
16-8860,8
16-0906,8
16-2332,8
16-2542,8
16-1693,8
16-4412,8
16-1921,8
16-2967,8
16-6948,8
16-0364,8
16-0223,8
16-2253,8
16-4655,8
16-5840,8
16-4476,8
16-0794,8
16-4510,8
16-0783,8
16-5038,8
16-8456,8
16-5282,8
16-7659,8
16-6917,8
16-4168,8
16-0260,8
16-8908,8
16-0112,8
16-0261,8
16-0270,8
16-6221,8
16-7873,8
16-9601,8
16-0868,8
16-7383,8
16-3100,8
16-3136,8
16-6443,8
16-8509,8
16-4078,8
16-0004,4
16-9056,8
16-19077,8
16-4064,8
16-9876,8
16-7284,8
16-6419,8
16-2644,8
16-9668,8
16-0840,8
16-8065,8
16-4043,8
16-1489,8
16-7160,8
16-4809,8
16-0200,8
16-2795,8
16-0093,8
16-9362,8
16-6722,8
16-6787,8
16-5693,8
16-4342,8
16-4017,8
16-18634,8
16-8951,8
16-5816,8
16-3195,8
16-5736,8
16-6952,8
16-7658,8
16-6538,8
16-7660,8
16-2634,8
16-7586,8
16-5167,8
16-5929,8
16-5432,8
16-9508,8
16-8914,8
16-8412,8
16-9344,8
16-4175,8
16-2860,8
16-9735,8
16-8788,8
16-0257,8
16-0509,8
16-3875,8
16-7976,8
16-0743,8
16-6776,8
16-9430,8
16-2191,8
16-13904,8
16-0282,8
16-8131,8
16-8818,8
16-6504,8
16-0798,8
16-5368,8
16-6508,8
16-5279,8
16-5362,8
16-7765,8
16-7796,8
16-4016,8
16-8091,8
16-6066,8
16-6157,8
16-3366,8
16-12341,8
