shape_id,squares_completed
17-dynamic,13
12-21295,11
07-044,2
10-1731,9
11-14863,11
20-dynamic,17
19-dynamic,13
17-dynamic,17
07-043,0
12-22155,4
12-22155,12
13-70823,0
12-24505,10
10-1744,6
10-4238,0
10-3459,6
16-4RH6I-00017,15
07-043,0
07-043,0
13-81972,0
07-044,7
07-044,7
11-15694,11
07-043,0
10-1733,0
07-044,7
11-7069,11
12-14934,5
12-18837,10
12-18837,12
11-6233,10
07-043,2
18-758NH-2DQJ1,6
11-10774,10
11-14559,3
11-14995,3
11-14995,11
12-25509,12
07-044,3
11-14678,10
11-6453,10
11-6453,10
11-6453,9
11-6453,9
11-6453,7
11-6453,10
11-6453,7
11-6453,7
11-6453,9
11-6453,11
13-219070,11
13-219070,13
18-9J9I8-00017,14
18-9J9I8-00017,12
18-9J9I8-00017,14
07-043,5
17-4RH7G-2DQJ9,14
17-4RH7G-2DQJ9,17
15-2854929,11
15-2854929,7
15-2854929,10
15-2854929,15
10-3021,8
12-34605,10
12-34605,11
12-34605,8
12-34605,6
12-34605,10
12-34605,3
12-34605,10
12-34605,9
12-34605,11
12-34605,4
12-34605,10
12-34605,8
12-34605,9
12-34605,2
12-34605,10
12-34605,11
12-34605,9
12-34605,10
12-34605,12
"mega-12-20791,12-9659,10-2815,12-21316",46
"mega-12-25517,10-3248,10-744,10-1746",0
"mega-10-1576,12-9228,12-54226,10-4153",16
"mega-10-1593,10-2752,12-20714,10-4153",12
"mega-10-1593,10-2752,12-20714,10-4153",8
"mega-10-1593,10-2752,12-20714,10-4153",29
"mega-10-1593,10-2752,12-20714,10-4153",20
"mega-10-1593,10-2752,12-20714,10-4153",35
"mega-10-2746,10-1922,10-1731,10-1789",14
"mega-10-2746,10-1922,10-1731,10-1789",39
"mega-10-1805,12-20791,12-9277,12-25517",12
"mega-10-1805,12-20791,12-9277,12-25517",31
"mega-12-9323,12-20755,10-2084,10-2816",0
"mega-10-1596,10-2815,12-20712,10-1576",0
"mega-10-0956,10-1748,12-12336,10-2815",42
"mega-10-2810,12-9277,12-12332,12-20755",29
08-141,8
"mega-12-20705,10-3021,12-24716,10-1744",22
"mega-12-20705,12-9201,10-1733,12-9719",46
"mega-10-1731,10-0748,12-9279,12-54226",0
"mega-10-2356,12-25517,10-0725,12-9276",0
08-141,0
08-235,0
08-367,0
20-4RHFN-9J3BV,16
07-043,7
