puzzle_code,game_mode,piece_name,board_size,shape_type,density,colors,mobility_rating,agility_rating,challenge_rating,endgame_reason,units_found,total_units,unit_completion_ratio,shapes_completed,total_shapes,shape_completion_ratio,total_moves,completion_score,final_score,elapsed_time_seconds
DBEK-COBT-L627-VYB7,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,15,16,0.9375,3,4,0.75,34,1688,4170,103
DBEC-V3KU-7BNR-QUTH,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,15,16,0.9375,3,4,0.75,54,1688,4170,95
DBEI-7ILZ-XOFX-USHR,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,14,16,0.875,3,4,0.75,55,1625,4015,89
DBEA-YQXE-K4HN-7LCC,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,14,16,0.875,3,4,0.75,39,1625,4015,69
DBEF-G46B-EWWT-JALM,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,13,16,0.8125,2,4,0.5,46,1312,3241,107
DBEE-UEN7-6POA-LBAW,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,0,16,0.0,0,4,0.0,1,0,0,3
DBEA-OOMJ-FGPB-2C4I,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,0,16,0.0,0,4,0.0,1,0,0,2
DBEG-RY64-7MD3-YFVZ,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,1,16,0.0625,0,4,0.0,1,62,153,3
DBEL-BMHM-GN26-47ID,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,0,16,0.0,0,4,0.0,1,0,0,1
DBEO-Y4WP-A55C-KZI2,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,1,16,0.0625,0,4,0.0,1,62,153,10
