piece,shape_type,agility_rating
bishop,mon,0
bishop,dom,5
bishop,tri,5
bishop,tet,5
bishop,pen,5
bishop,hex,5
bishop,hep,5
bishop,oct,5
bishop,mix,3
capricorn,mon,0
capricorn,dom,3
capricorn,tri,3
capricorn,tet,3
capricorn,pen,3
capricorn,hex,3
capricorn,hep,3
capricorn,oct,3
capricorn,mix,3
ceres,mon,0
ceres,dom,4
ceres,tri,3
ceres,tet,3
ceres,pen,3
ceres,hex,3
ceres,hep,3
ceres,oct,3
ceres,mix,3
delta,mon,0
delta,dom,5
delta,tri,5
delta,tet,5
delta,pen,5
delta,hex,5
delta,hep,5
delta,oct,5
delta,mix,3
earth,mon,0
earth,dom,3
earth,tri,3
earth,tet,2
earth,pen,3
earth,hex,3
earth,hep,3
earth,oct,3
earth,mix,3
fibonacci,mon,0
fibonacci,dom,4
fibonacci,tri,4
fibonacci,tet,4
fibonacci,pen,4
fibonacci,hex,4
fibonacci,hep,4
fibonacci,oct,4
fibonacci,mix,3
gamma,mon,0
gamma,dom,4
gamma,tri,4
gamma,tet,4
gamma,pen,4
gamma,hex,4
gamma,hep,4
gamma,oct,4
gamma,mix,3
gunkan,mon,0
gunkan,dom,4
gunkan,tri,4
gunkan,tet,4
gunkan,pen,4
gunkan,hex,4
gunkan,hep,4
gunkan,oct,4
gunkan,mix,3
jupiter,mon,0
jupiter,dom,3
jupiter,tri,3
jupiter,tet,3
jupiter,pen,3
jupiter,hex,3
jupiter,hep,3
jupiter,oct,3
jupiter,mix,3
king,mon,0
king,dom,4
king,tri,4
king,tet,4
king,pen,4
king,hex,4
king,hep,4
king,oct,4
king,mix,3
knight,mon,0
knight,dom,3
knight,tri,3
knight,tet,3
knight,pen,3
knight,hex,3
knight,hep,3
knight,oct,3
knight,mix,3
lambda,mon,0
lambda,dom,5
lambda,tri,5
lambda,tet,5
lambda,pen,5
lambda,hex,5
lambda,hep,5
lambda,oct,5
lambda,mix,3
leo,mon,0
leo,dom,3
leo,tri,3
leo,tet,4
leo,pen,4
leo,hex,4
leo,hep,4
leo,oct,4
leo,mix,3
libra,mon,0
libra,dom,4
libra,tri,3
libra,tet,3
libra,pen,3
libra,hex,3
libra,hep,2
libra,oct,2
libra,mix,3
mars,mon,0
mars,dom,3
mars,tri,3
mars,tet,3
mars,pen,3
mars,hex,3
mars,hep,3
mars,oct,3
mars,mix,3
mercury,mon,0
mercury,dom,3
mercury,tri,3
mercury,tet,3
mercury,pen,3
mercury,hex,4
mercury,hep,3
mercury,oct,3
mercury,mix,3
neptune,mon,0
neptune,dom,4
neptune,tri,3
neptune,tet,3
neptune,pen,3
neptune,hex,3
neptune,hep,3
neptune,oct,3
neptune,mix,3
omega,mon,0
omega,dom,1
omega,tri,1
omega,tet,1
omega,pen,1
omega,hex,1
omega,hep,1
omega,oct,1
omega,mix,3
pallas,mon,0
pallas,dom,3
pallas,tri,2
pallas,tet,2
pallas,pen,2
pallas,hex,2
pallas,hep,2
pallas,oct,2
pallas,mix,3
phi,mon,0
phi,dom,1
phi,tri,1
phi,tet,1
phi,pen,1
phi,hex,1
phi,hep,1
phi,oct,1
phi,mix,3
pi,mon,0
pi,dom,1
pi,tri,1
pi,tet,2
pi,pen,2
pi,hex,2
pi,hep,2
pi,oct,2
pi,mix,3
pluto,mon,0
pluto,dom,1
pluto,tri,1
pluto,tet,1
pluto,pen,1
pluto,hex,1
pluto,hep,1
pluto,oct,1
pluto,mix,3
psi,mon,0
psi,dom,1
psi,tri,1
psi,tet,1
psi,pen,1
psi,hex,1
psi,hep,1
psi,oct,1
psi,mix,3
queen,mon,0
queen,dom,4
queen,tri,4
queen,tet,4
queen,pen,4
queen,hex,4
queen,hep,4
queen,oct,4
queen,mix,3
rook,mon,0
rook,dom,4
rook,tri,4
rook,tet,4
rook,pen,4
rook,hex,4
rook,hep,4
rook,oct,4
rook,mix,3
sagittarius,mon,0
sagittarius,dom,3
sagittarius,tri,3
sagittarius,tet,2
sagittarius,pen,3
sagittarius,hex,3
sagittarius,hep,3
sagittarius,oct,3
sagittarius,mix,3
saturn,mon,0
saturn,dom,3
saturn,tri,2
saturn,tet,2
saturn,pen,2
saturn,hex,2
saturn,hep,2
saturn,oct,2
saturn,mix,3
scorpio,mon,0
scorpio,dom,3
scorpio,tri,3
scorpio,tet,3
scorpio,pen,2
scorpio,hex,2
scorpio,hep,2
scorpio,oct,2
scorpio,mix,3
sigma,mon,0
sigma,dom,1
sigma,tri,1
sigma,tet,1
sigma,pen,1
sigma,hex,1
sigma,hep,1
sigma,oct,1
sigma,mix,3
theta,mon,3
theta,dom,0
theta,tri,5
theta,tet,5
theta,pen,5
theta,hex,5
theta,hep,5
theta,oct,5
theta,mix,3
uranus,mon,0
uranus,dom,4
uranus,tri,3
uranus,tet,3
uranus,pen,3
uranus,hex,3
uranus,hep,3
uranus,oct,3
uranus,mix,3
venus,mon,0
venus,dom,4
venus,tri,3
venus,tet,3
venus,pen,3
venus,hex,3
venus,hep,3
venus,oct,3
venus,mix,3
virgo,mon,0
virgo,dom,4
virgo,tri,4
virgo,tet,3
virgo,pen,3
virgo,hex,3
virgo,hep,3
virgo,oct,3
virgo,mix,3
xi,mon,0
xi,dom,5
xi,tri,5
xi,tet,5
xi,pen,5
xi,hex,5
xi,hep,5
xi,oct,5
xi,mix,3
