piece,board_size,mobility_rating
knight,5,3
king,5,3
queen,5,5
rook,5,4
bishop,5,3
gamma,5,3
delta,5,3
theta,5,3
lambda,5,3
xi,5,2
pi,5,2
sigma,5,2
phi,5,2
psi,5,0
omega,5,0
mercury,5,3
venus,5,3
earth,5,3
mars,5,3
jupiter,5,3
saturn,5,3
uranus,5,3
neptune,5,3
ceres,5,3
pallas,5,2
pluto,5,2
leo,5,4
virgo,5,4
libra,5,2
scorpio,5,2
sagittarius,5,3
capricorn,5,3
fibonacci,5,5
gunkan,5,5
knight,6,3
king,6,3
queen,6,5
rook,6,4
bishop,6,3
gamma,6,3
delta,6,2
theta,6,2
lambda,6,3
xi,6,2
pi,6,2
sigma,6,2
phi,6,2
psi,6,2
omega,6,0
mercury,6,3
venus,6,3
earth,6,3
mars,6,3
jupiter,6,3
saturn,6,3
uranus,6,3
neptune,6,3
ceres,6,3
pallas,6,2
pluto,6,2
leo,6,4
virgo,6,4
libra,6,3
scorpio,6,2
sagittarius,6,3
capricorn,6,3
fibonacci,6,5
gunkan,6,5
knight,7,3
king,7,3
queen,7,5
rook,7,4
bishop,7,3
gamma,7,2
delta,7,2
theta,7,2
lambda,7,3
xi,7,2
pi,7,2
sigma,7,2
phi,7,2
psi,7,2
omega,7,2
mercury,7,3
venus,7,3
earth,7,3
mars,7,3
jupiter,7,3
saturn,7,3
uranus,7,3
neptune,7,3
ceres,7,3
pallas,7,2
pluto,7,2
leo,7,4
virgo,7,4
libra,7,3
scorpio,7,2
sagittarius,7,3
capricorn,7,3
fibonacci,7,5
gunkan,7,5
knight,8,3
king,8,3
queen,8,5
rook,8,4
bishop,8,3
gamma,8,2
delta,8,2
theta,8,2
lambda,8,3
xi,8,2
pi,8,2
sigma,8,2
phi,8,2
psi,8,2
omega,8,2
mercury,8,3
venus,8,3
earth,8,3
mars,8,3
jupiter,8,3
saturn,8,3
uranus,8,3
neptune,8,3
ceres,8,3
pallas,8,2
pluto,8,2
leo,8,4
virgo,8,4
libra,8,3
scorpio,8,3
sagittarius,8,3
capricorn,8,3
fibonacci,8,4
gunkan,8,5
knight,9,3
king,9,3
queen,9,5
rook,9,4
bishop,9,3
gamma,9,2
delta,9,2
theta,9,2
lambda,9,3
xi,9,2
pi,9,2
sigma,9,2
phi,9,2
psi,9,2
omega,9,2
mercury,9,3
venus,9,3
earth,9,3
mars,9,3
jupiter,9,3
saturn,9,3
uranus,9,3
neptune,9,3
ceres,9,3
pallas,9,3
pluto,9,2
leo,9,4
virgo,9,3
libra,9,3
scorpio,9,3
sagittarius,9,3
capricorn,9,3
fibonacci,9,4
gunkan,9,5
knight,10,3
king,10,3
queen,10,5
rook,10,4
bishop,10,3
gamma,10,2
delta,10,2
theta,10,2
lambda,10,3
xi,10,2
pi,10,2
sigma,10,2
phi,10,2
psi,10,2
omega,10,2
mercury,10,3
venus,10,3
earth,10,3
mars,10,3
jupiter,10,3
saturn,10,3
uranus,10,3
neptune,10,3
ceres,10,3
pallas,10,3
pluto,10,2
leo,10,4
virgo,10,3
libra,10,3
scorpio,10,3
sagittarius,10,3
capricorn,10,3
fibonacci,10,4
gunkan,10,5
knight,11,3
king,11,3
queen,11,5
rook,11,4
bishop,11,3
gamma,11,2
delta,11,2
theta,11,2
lambda,11,3
xi,11,2
pi,11,3
sigma,11,3
phi,11,2
psi,11,2
omega,11,2
mercury,11,3
venus,11,3
earth,11,3
mars,11,3
jupiter,11,3
saturn,11,3
uranus,11,3
neptune,11,3
ceres,11,3
pallas,11,3
pluto,11,2
leo,11,4
virgo,11,3
libra,11,3
scorpio,11,3
sagittarius,11,3
capricorn,11,3
fibonacci,11,4
gunkan,11,5
knight,12,3
king,12,3
queen,12,5
rook,12,4
bishop,12,3
gamma,12,2
delta,12,2
theta,12,2
lambda,12,3
xi,12,2
pi,12,3
sigma,12,3
phi,12,2
psi,12,2
omega,12,2
mercury,12,3
venus,12,3
earth,12,3
mars,12,3
jupiter,12,3
saturn,12,3
uranus,12,3
neptune,12,3
ceres,12,3
pallas,12,3
pluto,12,2
leo,12,3
virgo,12,3
libra,12,3
scorpio,12,3
sagittarius,12,3
capricorn,12,3
fibonacci,12,4
gunkan,12,5
knight,13,3
king,13,3
queen,13,5
rook,13,4
bishop,13,3
gamma,13,2
delta,13,2
theta,13,2
lambda,13,3
xi,13,2
pi,13,3
sigma,13,3
phi,13,3
psi,13,2
omega,13,2
mercury,13,3
venus,13,3
earth,13,3
mars,13,3
jupiter,13,3
saturn,13,3
uranus,13,3
neptune,13,3
ceres,13,3
pallas,13,3
pluto,13,2
leo,13,3
virgo,13,3
libra,13,3
scorpio,13,3
sagittarius,13,3
capricorn,13,3
fibonacci,13,4
gunkan,13,5
knight,14,3
king,14,3
queen,14,4
rook,14,4
bishop,14,3
gamma,14,2
delta,14,2
theta,14,2
lambda,14,3
xi,14,2
pi,14,3
sigma,14,3
phi,14,3
psi,14,3
omega,14,3
mercury,14,3
venus,14,3
earth,14,3
mars,14,3
jupiter,14,3
saturn,14,3
uranus,14,3
neptune,14,3
ceres,14,3
pallas,14,3
pluto,14,3
leo,14,3
virgo,14,3
libra,14,3
scorpio,14,3
sagittarius,14,3
capricorn,14,3
fibonacci,14,4
gunkan,14,5
knight,15,3
king,15,3
queen,15,4
rook,15,4
bishop,15,3
gamma,15,3
delta,15,3
theta,15,3
lambda,15,3
xi,15,2
pi,15,3
sigma,15,3
phi,15,3
psi,15,3
omega,15,3
mercury,15,3
venus,15,3
earth,15,3
mars,15,3
jupiter,15,3
saturn,15,3
uranus,15,3
neptune,15,3
ceres,15,3
pallas,15,3
pluto,15,3
leo,15,3
virgo,15,3
libra,15,3
scorpio,15,3
sagittarius,15,3
capricorn,15,3
fibonacci,15,3
gunkan,15,5
knight,16,3
king,16,3
queen,16,4
rook,16,4
bishop,16,3
gamma,16,3
delta,16,3
theta,16,3
lambda,16,3
xi,16,3
pi,16,3
sigma,16,3
phi,16,3
psi,16,3
omega,16,3
mercury,16,3
venus,16,3
earth,16,3
mars,16,3
jupiter,16,3
saturn,16,3
uranus,16,3
neptune,16,3
ceres,16,3
pallas,16,3
pluto,16,3
leo,16,3
virgo,16,3
libra,16,3
scorpio,16,3
sagittarius,16,3
capricorn,16,3
fibonacci,16,3
gunkan,16,5
