puzzle_code,game_mode,piece_name,board_size,shape_type,density,colors,mobility_rating,agility_rating,challenge_rating,endgame_reason,units_found,total_units,unit_completion_ratio,shapes_completed,total_shapes,shape_completion_ratio,total_moves,completion_score,final_score,elapsed_time_seconds
DCEB-NR22-DS2A-5PBT,regular,knight,8,pentomino,medium,unique,2,3,2.6,all shapes found,15,15,1.0,3,3,1.0,40,2000,5200,59
DCEF-3BHS-GQIN-MGI2,regular,knight,8,pentomino,medium,unique,2,3,2.6,time's up,0,15,0.0,0,3,0.0,2,0,0,60
DCED-6MJV-VI5O-UOYU,regular,knight,8,pentomino,medium,unique,2,3,2.6,time's up,0,15,0.0,0,3,0.0,5,0,0,35
DCEB-AOG7-XLR4-WWK4,regular,knight,8,pentomino,medium,unique,2,3,2.6,time's up,4,15,0.26666666666666666,0,3,0.0,6,267,694,47
DAEE-JPB3-3EJ6-G6NW,regular,knight,8,monomino,medium,unique,2,0,2.6,all shapes found,13,13,1.0,13,13,1.0,42,2000,5200,78
DBEC-7WJB-BBSW-6ZPL,regular,knight,8,triomino,medium,unique,2,3,2.3,resignation,0,15,0.0,0,5,0.0,1,0,0,0
DBEH-WNEY-BSNN-SNVX,regular,knight,8,triomino,medium,unique,2,3,2.3,no legal moves,14,15,0.9333333333333333,4,5,0.8,45,1733,3986,83
DCEB-JZGM-JBY5-7PVL,regular,knight,8,pentomino,medium,unique,2,3,2.6,no legal moves,11,15,0.7333333333333333,1,3,0.3333333333333333,37,1067,2774,65
CWEE-UU6A-6L52-2MB6,regular,wapiti,5,pentomino,medium,unique,3,0,3.1,all shapes found,5,5,1.0,1,1,1.0,9,2000,6200,7
C2EA-7LBX-MXMI-YOKT,regular,zebra,6,pentomino,medium,unique,3,0,3.1,no legal moves,2,10,0.2,0,2,0.0,11,200,620,8
DCEG-WGEI-B2LW-L2FI,regular,knight,8,pentomino,medium,unique,2,3,2.6,time's up,0,15,0.0,0,3,0.0,1,0,0,0
DCEF-F6LR-36ZE-73HE,regular,knight,8,pentomino,medium,unique,2,3,2.6,resignation,2,15,0.13333333333333333,0,3,0.0,3,133,346,2
DCEG-I4V6-XKFP-BYYV,regular,knight,8,pentomino,medium,unique,2,3,2.6,no legal moves,14,15,0.9333333333333333,2,3,0.6666666666666666,38,1600,4160,65
DCEC-AGQJ-NLST-DKVT,regular,knight,8,pentomino,medium,unique,2,3,2.6,all shapes found,15,15,1.0,3,3,1.0,41,2000,5200,97
